item_nr	datum	zeitstempel	thema	text	kw_type	kw_token	diskurs	fee	instantiation	frame	frame-url	annotation_sw
1	02-12-2022		'Chancen-Aufenthaltsgesetz': Bundestag beschließt rechtliche Verbesserungen für Geduldete		"Integration; Deutsch; Berufstätigkeit"	"integriert; Sprachkenntnisse; Beruf"	Migration	sich integriert haben		Absichtlich_handeln	https://framenet-constructicon.hhu.de/framenet/frame?id=479	ps
2	04-05-2023		Deutschland will sozial benachteiligte Kinder stärker fördern		"Schule; Sprache"	"Abschluss; wo kaum Deutsch gesprochen wird"	Bildung	"Chancengleichheit; Bildungsungleichheit; Auf der einen Seite [...] Dann sind da"		Ähnlichkeit	https://framenet-constructicon.hhu.de/framenet/frame?id=1074	ps
3	16-05-2023		Laut IGLU-Studie hat jeder vierte Viertklässler Schwäche beim Lesen		Schule	Schulen	Bildung	unterschiedlichen		Ähnlichkeit	https://framenet-constructicon.hhu.de/framenet/frame?id=1074	ps
4	12-09-2023		Wachsende Schere bei beruflicher Bildung laut OECD-Studie		Ausbildung	Berufsausbildung	Bildung	geht die Schere [...] auseinander		Ähnlichkeit	https://framenet-constructicon.hhu.de/framenet/frame?id=1074	ps
5	13-10-2023		Nachlassende Leistungen im Schulfach 'Deutsch' laut Studie im Auftrag der Kultusministerkonferenz		Migration	unterschiedlichster Herkunft	Bildung	"unterschiedlichster; gleiche"		Ähnlichkeit	https://framenet-constructicon.hhu.de/framenet/frame?id=1074	ps
6	13-10-2023		Nachlassende Leistungen im Schulfach 'Deutsch' laut Studie im Auftrag der Kultusministerkonferenz		Migration	unterschiedlichster Herkunft	Bildung	Jugendlichen		Personen_nach_Alter	https://framenet-constructicon.hhu.de/framenet/frame?id=1213	ps
7	29-02-2024		Zahl der Arbeitslosen im Februar und Integrationsprobleme ukrainischer Geflüchteter in den Arbeitsmarkt		Sprache	Sprache	Migration	Vergleich		Ähnlichkeit	https://framenet-constructicon.hhu.de/framenet/frame?id=1074	ps
8	20-07-2024		Sozialverbände kritisieren die Regierung wegen ihrer Pläne Migrationsangebote zu kürzen		"Migration; Geflüchtete; Berufstätigkeit"	"wollen in Deutschland leben; Asylbewerber; arbeiten"	Migration	verschieden		Ähnlichkeit	https://framenet-constructicon.hhu.de/framenet/frame?id=1074	ps
9	09-12-2022		Kultusministerkonferenz empfiehlt intensivere Lernzeiten für Grundschulkinder		"Schule; Kita"	"vorbereitet; Kita"	Bildung	vorbereitet werden		Aktivitätsvorbereitung	https://framenet-constructicon.hhu.de/framenet/frame?id=347	ps
10	17-10-2022		IQB-Bildungstrend: Viertklässler verschlechtern sich in Deutsch und Mathematik		"Schule; Geflüchtete"	"Schule; Fluchtbewegungen"	Bildung	verändernde		Änderung_erfahren	https://framenet-constructicon.hhu.de/framenet/frame?id=85	ps
